census_tract,block_group,total_pop,pct_white,pct_black,stat_nb
2708.05,3,"1,011",7.60%,88.80%,Cameron Village
2708.05,4,988,7.70%,88.30%,Mid-Govans
2708.05,5,991,30.60%,66.50%,Belvedere
2709.01,1,955,3.10%,94.60%,New Northwood
2709.01,2,"1,128",2.00%,96.10%,New Northwood
2709.01,3,"1,960",1.50%,95.60%,New Northwood
2709.02,1,"1,871",3.80%,94.20%,Perring Loch
2709.02,2,"1,339",11.00%,85.60%,Stonewood-Pentwood-Winston
2709.02,3,"1,544",3.40%,94.60%,Perring Loch
2709.03,1,"2,460",2.40%,95.20%,Hillen
2709.03,2,"1,248",22.90%,70.50%,Original Northwood
2709.03,3,895,4.70%,88.80%,Hillen
2710.01,1,819,2.00%,95.50%,Wilson Park
2710.01,2,558,3.20%,94.30%,Wilson Park
2710.01,3,921,3.60%,93.30%,Pen Lucy
2710.02,1,"1,206",2.10%,96.80%,Kenilworth Park
2710.02,2,676,0.90%,96.00%,Richnor Springs
2710.02,3,566,4.20%,91.20%,Winston-Govans
2710.02,4,775,6.50%,90.60%,Winston-Govans
2710.02,5,909,2.20%,95.00%,Woodbourne-McCabe
2711.01,1,"1,045",60.00%,29.30%,Villages Of Homeland
2711.01,2,15,86.70%,0.00%,Loyola/Notre Dame
2711.01,3,986,53.90%,40.40%,Radnor-Winston
2711.02,1,"3,636",87.10%,5.20%,Loyola/Notre Dame
2711.02,2,889,72.30%,22.40%,Guilford
2712,1,660,89.50%,5.50%,Cedarcroft
2712,2,"1,231",69.30%,23.20%,Rosebank
2712,3,974,87.10%,7.30%,Homeland
2712,4,932,91.10%,2.50%,Homeland
2712,5,"1,008",84.60%,11.60%,Homeland
2712,6,"1,298",83.70%,8.50%,The Orchards
2713,1,"1,426",67.90%,11.90%,North Roland Park/Poplar Hill
2713,2,558,87.50%,4.10%,Wyndhurst
2713,3,807,93.80%,1.00%,Roland Park
2714,1,836,75.60%,19.30%,Roland Park
2714,2,"1,237",92.30%,2.30%,Roland Park
2714,3,"1,657",68.20%,6.80%,Roland Park
2715.01,1,708,85.70%,8.50%,Mount Washington
2715.01,2,525,79.00%,12.60%,Mount Washington
2715.01,3,693,88.20%,5.90%,Mount Washington
2715.01,4,"1,050",83.00%,10.60%,Mount Washington
2715.01,5,"1,207",76.00%,12.50%,Cheswolde
2715.03,1,856,84.70%,9.90%,Cross Keys
2716,1,773,0.50%,97.20%,Cylburn
2716,2,884,1.80%,95.10%,Parklane
2716,3,740,4.10%,94.90%,Parklane
2716,4,870,2.40%,95.20%,Central Park Heights
2716,5,466,1.70%,95.10%,Cylburn
2716,6,790,3.00%,94.70%,Central Park Heights
2717,1,452,34.30%,63.50%,Levindale
2717,2,940,1.60%,96.30%,Pimlico Good Neighbors
2717,3,971,2.30%,94.90%,Cylburn
2717,4,"1,402",3.70%,94.90%,Levindale
2717,5,"1,340",1.80%,95.60%,Central Park Heights
2717,6,543,0.70%,97.40%,Central Park Heights
2718.01,1,783,0.50%,96.80%,Arlington
2718.01,2,"1,046",1.40%,95.90%,Arlington
2718.01,3,"1,346",1.60%,96.20%,Arlington
2718.02,1,458,1.10%,97.40%,Central Park Heights
2718.02,2,608,0.50%,97.90%,Central Park Heights
2718.02,3,717,2.20%,94.40%,Central Park Heights
2718.02,4,"1,210",1.20%,96.90%,Langston Hughes
2719,1,746,54.70%,39.70%,Mount Washington
2719,2,672,11.30%,84.70%,Glen
2719,3,829,18.80%,77.60%,Glen (NW: Glen & Key; SE: Manhattan & Northern)
2719,4,733,16.80%,80.40%,Glen
2719,5,793,4.90%,92.40%,Glen
2720.03,1,810,83.50%,11.60%,Cheswolde
2720.03,2,831,64.50%,23.60%,Cheswolde
2720.03,3,"1,494",41.40%,55.00%,Glen
2720.03,4,"1,818",76.70%,20.20%,Cross Country
2720.03,5,864,82.30%,14.40%,Cheswolde
2720.04,1,"1,667",77.30%,12.40%,Cheswolde
2720.04,2,"2,121",77.80%,16.20%,Cheswolde
2720.05,1,"1,121",82.50%,14.80%,Cross Country
2720.05,2,930,91.90%,6.90%,Cross Country
2720.05,3,"1,378",66.00%,21.30%,Cross Country
2720.06,1,"2,229",42.40%,55.00%,Glen
2720.06,2,"1,319",62.50%,35.50%,Glen
2720.07,1,"2,390",36.50%,43.00%,Fallstaff
2720.07,2,"1,144",39.00%,47.80%,Fallstaff
2720.07,3,833,38.10%,54.70%,Fallstaff
2801.01,1,873,7.00%,86.50%,Reisterstown Station
2801.01,2,"1,295",6.70%,86.90%,Reisterstown Station
2801.01,3,"1,058",2.10%,96.00%,Woodmere
2801.02,1,400,5.00%,92.30%,Woodmere
2801.02,2,"1,026",2.20%,95.50%,Howard Park
2801.02,3,988,2.20%,95.20%,Howard Park
2801.02,4,"1,541",1.80%,96.00%,Howard Park
2801.02,5,"1,322",0.80%,95.80%,Grove Park
2801.02,6,768,0.10%,97.50%,West Arlington
2802,1,"1,170",3.70%,94.60%,Howard Park
2802,2,592,2.50%,96.60%,Howard Park
2802,3,620,2.70%,94.50%,Howard Park
2802,4,813,3.80%,93.00%,Howard Park
2802,5,859,4.40%,92.90%,Howard Park
2802,6,774,3.00%,92.20%,Howard Park
2803.01,1,"1,042",7.00%,91.20%,Franklintown
2803.01,2,"1,136",7.00%,91.10%,Dickeyville
2803.01,3,"1,923",10.70%,86.00%,Wakefield
2803.02,1,"1,328",1.40%,96.80%,West Forest Park
2803.02,2,954,7.70%,89.50%,Windsor Hills
2804.01,1,753,15.30%,80.60%,Rognel Heights
2804.01,2,599,34.10%,63.90%,Hunting Ridge
2804.01,3,711,12.20%,85.00%,Hunting Ridge
2804.01,4,922,5.60%,91.20%,West Hills
2804.01,5,580,7.40%,91.70%,West Hills
2804.02,1,473,3.00%,93.40%,Rognel Heights
2804.02,2,"1,101",0.50%,97.90%,Rognel Heights
2804.03,1,958,6.10%,92.10%,Tremont
2804.03,2,"1,006",19.10%,76.70%,Westgate
2804.03,3,"1,872",31.90%,64.40%,Westgate
2804.03,4,580,35.50%,59.00%,Ten Hills
2804.03,5,657,37.60%,55.90%,Ten Hills
2804.04,1,"2,257",4.90%,93.00%,Uplands
2804.04,2,10,30.00%,70.00%,Uplands
2805,1,882,5.20%,82.50%,Dunbar-Broadway
2805,2,"1,767",11.50%,86.40%,Penn-Fallsway
2805,3,507,3.70%,89.90%,Oldtown
2805,4,393,1.00%,98.50%,Pleasant View Gardens
,,,,,
